team,matchday,standings,wins,goals,goal differential,points
Hamburger SV,1,12,0,0,0,1
Hamburger SV,2,17,0,0,-3,1
Hamburger SV,3,18,0,0,-5,1
Hamburger SV,4,17,0,0,-5,2
Hamburger SV,5,18,0,0,-6,2
Hamburger SV,6,18,0,1,-7,2
Hamburger SV,7,17,1,2,-6,5
Hamburger SV,8,16,1,3,-6,6
Hamburger SV,9,16,1,3,-9,6
Hamburger SV,10,14,2,4,-8,9
Hamburger SV,11,17,2,4,-10,9
Hamburger SV,12,15,3,6,-8,12
Hamburger SV,13,17,3,7,-10,12
Hamburger SV,14,13,4,9,-9,15
Hamburger SV,15,14,4,9,-9,16
Hamburger SV,16,14,4,9,-10,16
Hamburger SV,17,14,4,9,-10,17
Hamburger SV,18,16,4,9,-12,17
Hamburger SV,19,13,5,12,-9,20
Hamburger SV,20,12,6,14,-8,23
Hamburger SV,21,13,6,14,-16,23
Hamburger SV,22,14,6,15,-16,24
Hamburger SV,23,15,6,16,-17,24
Hamburger SV,24,15,6,16,-17,25
Hamburger SV,25,15,6,16,-20,25
Hamburger SV,26,16,6,16,-21,25
Hamburger SV,27,16,6,16,-25,25
Hamburger SV,28,18,6,16,-27,25
Hamburger SV,29,18,6,16,-28,25
Hamburger SV,30,16,7,19,-27,28
Hamburger SV,31,14,8,21,-26,31
Hamburger SV,32,14,8,22,-26,32
Hamburger SV,33,17,8,23,-27,32
Hamburger SV,34,16,9,25,-25,35
Hannover 96,1,3,1,2,1,3
Hannover 96,2,7,1,2,1,4
Hannover 96,3,3,2,4,3,7
Hannover 96,4,6,2,4,1,7
Hannover 96,5,3,3,5,2,10
Hannover 96,6,6,3,5,1,10
Hannover 96,7,8,3,5,-3,10
Hannover 96,8,10,3,5,-6,10
Hannover 96,9,7,4,6,-5,13
Hannover 96,10,6,5,7,-4,16
Hannover 96,11,4,6,9,-2,19
Hannover 96,12,5,6,10,-4,19
Hannover 96,13,8,6,13,-5,19
Hannover 96,14,9,6,14,-7,19
Hannover 96,15,9,6,17,-7,20
Hannover 96,16,8,7,19,-5,23
Hannover 96,17,8,7,21,-5,24
Hannover 96,18,8,7,21,-6,24
Hannover 96,19,8,7,22,-6,25
Hannover 96,20,10,7,23,-7,25
Hannover 96,21,10,7,24,-8,25
Hannover 96,22,10,7,25,-8,26
Hannover 96,23,11,7,26,-8,27
Hannover 96,24,12,7,27,-10,27
Hannover 96,25,13,7,27,-12,27
Hannover 96,26,14,7,29,-13,27
Hannover 96,27,14,7,31,-13,28
Hannover 96,28,15,7,32,-13,29
Hannover 96,29,15,7,32,-17,29
Hannover 96,30,15,7,33,-18,29
Hannover 96,31,17,7,35,-18,30
Hannover 96,32,16,7,36,-18,31
Hannover 96,33,15,8,38,-17,34
Hannover 96,34,13,9,40,-16,37
Hertha BSC,1,6,0,2,0,1
Hertha BSC,2,15,0,4,-2,1
Hertha BSC,3,15,0,5,-4,1
Hertha BSC,4,15,0,7,-4,2
Hertha BSC,5,14,1,8,-3,5
Hertha BSC,6,14,1,8,-4,5
Hertha BSC,7,12,2,11,-3,8
Hertha BSC,8,13,2,11,-5,8
Hertha BSC,9,13,3,14,-2,11
Hertha BSC,10,13,3,15,-4,11
Hertha BSC,11,14,3,15,-6,11
Hertha BSC,12,13,4,17,-5,14
Hertha BSC,13,13,4,17,-6,14
Hertha BSC,14,15,4,19,-7,14
Hertha BSC,15,13,5,20,-6,17
Hertha BSC,16,13,5,24,-6,18
Hertha BSC,17,13,5,24,-11,18
Hertha BSC,18,15,5,24,-13,18
Hertha BSC,19,17,5,24,-14,18
Hertha BSC,20,14,6,26,-12,21
Hertha BSC,21,17,6,26,-14,21
Hertha BSC,22,17,6,27,-15,21
Hertha BSC,23,14,7,28,-14,24
Hertha BSC,24,14,7,28,-14,25
Hertha BSC,25,14,7,30,-14,26
Hertha BSC,26,13,8,31,-13,29
Hertha BSC,27,11,9,33,-11,32
Hertha BSC,28,12,9,34,-11,33
Hertha BSC,29,13,9,34,-11,34
Hertha BSC,30,13,9,34,-12,34
Hertha BSC,31,13,9,35,-13,34
Hertha BSC,32,13,9,35,-15,34
Hertha BSC,33,13,9,35,-15,35
Hertha BSC,34,15,9,36,-16,35
SC Freiburg,1,16,0,0,-1,0
SC Freiburg,2,14,0,0,-1,1
SC Freiburg,3,14,0,1,-3,1
SC Freiburg,4,14,0,3,-3,2
SC Freiburg,5,15,0,6,-3,3
SC Freiburg,6,16,0,6,-3,4
SC Freiburg,7,15,0,7,-3,5
SC Freiburg,8,17,0,8,-4,5
SC Freiburg,9,17,0,8,-6,5
SC Freiburg,10,16,1,9,-5,8
SC Freiburg,11,13,2,11,-3,11
SC Freiburg,12,14,2,13,-3,12
SC Freiburg,13,15,2,14,-6,12
SC Freiburg,14,16,2,15,-6,13
SC Freiburg,15,15,2,15,-6,14
SC Freiburg,16,17,2,15,-8,14
SC Freiburg,17,18,2,17,-8,15
SC Freiburg,18,14,3,21,-5,18
SC Freiburg,19,15,3,21,-6,18
SC Freiburg,20,17,3,21,-9,18
SC Freiburg,21,16,4,23,-7,21
SC Freiburg,22,16,4,24,-7,22
SC Freiburg,23,17,4,24,-8,22
SC Freiburg,24,17,4,24,-9,22
SC Freiburg,25,17,4,24,-12,22
SC Freiburg,26,15,5,26,-10,25
SC Freiburg,27,15,6,27,-9,28
SC Freiburg,28,14,6,27,-9,29
SC Freiburg,29,14,6,29,-10,29
SC Freiburg,30,14,6,31,-10,30
SC Freiburg,31,16,6,32,-11,30
SC Freiburg,32,15,6,33,-11,31
SC Freiburg,33,14,7,35,-10,34
SC Freiburg,34,17,7,36,-11,34
SC Paderborn,1,6,0,2,0,1
SC Paderborn,2,2,1,5,3,4
SC Paderborn,3,5,1,5,3,5
SC Paderborn,4,1,2,7,5,8
SC Paderborn,5,7,2,7,1,8
SC Paderborn,6,11,2,8,0,8
SC Paderborn,7,9,2,10,0,9
SC Paderborn,8,7,3,13,2,12
SC Paderborn,9,8,3,13,1,12
SC Paderborn,10,7,4,16,3,15
SC Paderborn,11,10,4,16,0,15
SC Paderborn,12,10,4,18,0,16
SC Paderborn,13,10,4,18,-4,16
SC Paderborn,14,10,4,19,-4,17
SC Paderborn,15,10,4,20,-4,18
SC Paderborn,16,12,4,21,-5,18
SC Paderborn,17,10,4,21,-5,19
SC Paderborn,18,13,4,21,-10,19
SC Paderborn,19,14,4,21,-13,19
SC Paderborn,20,15,4,21,-13,20
SC Paderborn,21,12,5,23,-12,23
SC Paderborn,22,15,5,23,-18,23
SC Paderborn,23,16,5,23,-20,23
SC Paderborn,24,16,5,23,-23,23
SC Paderborn,25,16,5,23,-27,23
SC Paderborn,26,17,5,23,-27,24
SC Paderborn,27,17,5,23,-29,24
SC Paderborn,28,16,6,25,-28,27
SC Paderborn,29,16,6,25,-31,27
SC Paderborn,30,17,6,27,-31,28
SC Paderborn,31,15,7,29,-30,31
SC Paderborn,32,17,7,30,-32,31
SC Paderborn,33,18,7,30,-33,31
SC Paderborn,34,18,7,31,-34,31
Schalke 04,1,14,0,1,-1,0
Schalke 04,2,13,0,2,-1,1
Schalke 04,3,16,0,3,-4,1
Schalke 04,4,16,0,5,-4,2
Schalke 04,5,13,1,8,-1,5
Schalke 04,6,10,2,10,0,8
Schalke 04,7,11,2,11,-1,8
Schalke 04,8,9,3,13,1,11
Schalke 04,9,12,3,13,0,11
Schalke 04,10,8,4,14,1,14
Schalke 04,11,11,4,14,-1,14
Schalke 04,12,7,5,17,0,17
Schalke 04,13,6,6,21,3,20
Schalke 04,14,5,7,25,7,23
Schalke 04,15,6,7,26,6,23
Schalke 04,16,5,8,28,7,26
Schalke 04,17,5,8,28,7,27
Schalke 04,18,4,9,29,8,30
Schalke 04,19,6,9,30,8,31
Schalke 04,20,3,10,31,9,34
Schalke 04,21,4,10,31,8,34
Schalke 04,22,4,10,32,8,35
Schalke 04,23,5,10,32,5,35
Schalke 04,24,5,11,35,7,38
Schalke 04,25,5,11,37,7,39
Schalke 04,26,5,11,37,6,39
Schalke 04,27,5,11,37,6,40
Schalke 04,28,5,11,37,6,41
Schalke 04,29,5,11,38,6,42
Schalke 04,30,5,11,38,4,42
Schalke 04,31,5,12,41,5,45
Schalke 04,32,6,12,41,3,45
Schalke 04,33,5,13,42,4,48
Schalke 04,34,6,13,42,2,48
SV Werder Bremen,1,6,0,2,0,1
SV Werder Bremen,2,9,0,3,0,2
SV Werder Bremen,3,11,0,6,0,3
SV Werder Bremen,4,13,0,8,-2,3
SV Werder Bremen,5,16,0,8,-5,3
SV Werder Bremen,6,17,0,9,-6,3
SV Werder Bremen,7,18,0,10,-6,4
SV Werder Bremen,8,18,0,10,-12,4
SV Werder Bremen,9,18,0,10,-13,4
SV Werder Bremen,10,18,1,12,-12,7
SV Werder Bremen,11,16,2,14,-10,10
SV Werder Bremen,12,17,2,14,-12,10
SV Werder Bremen,13,14,3,18,-8,13
SV Werder Bremen,14,17,3,20,-11,13
SV Werder Bremen,15,17,3,23,-11,14
SV Werder Bremen,16,18,3,24,-14,14
SV Werder Bremen,17,16,4,26,-13,17
SV Werder Bremen,18,12,5,28,-11,20
SV Werder Bremen,19,11,6,30,-10,23
SV Werder Bremen,20,8,7,32,-9,26
SV Werder Bremen,21,8,8,35,-8,29
SV Werder Bremen,22,8,8,36,-8,30
